№,Статус,Вопрос,Ожидаемые ключевые слова,Найдено,Ответ бота
15,OK,Какие типы файлов можно найти в карточке товара?,"шаблоны, инструкции, кастомизации","шаблоны, инструкции, кастомизации","В карточке товара доступны шаблоны для подготовки оригинал-макетов, шаблон-заявка на изготовление аналога товара по собственному дизайну, инструкции по кастомизации и инструкции по эксплуатации."
16,OK,Можно ли использовать фото и видео из галереи изображений в карточке товара на сайтах партнеров и в их соцсетях?,равноправных,равноправных,"Да, на равноправных основаниях с продукцией других поставщиков."
17,OK,"Как быстрее всего найти аналог кружки по объему, находясь в карточке товара?",объема,объема,Нужно нажать на числовое значение объема прямо в карточке понравившейся модели.
18,OK,"Как узнать подробные условия поставки товара, который хранится на партнерском складе?",ссылку под блоком,ссылку под блоком,Нужно нажать на ссылку под блоком с ценой в карточке товара.
19,OK,Где можно найти фото примеров печати логотипа на товар?,"фотографии, примеры","фотографии, примеры",Фото примеров печати находятся на вкладках «Фотографии» и «Примеры» в галерее изображений карточки товара.
20,OK,"Можно ли распознать в каталоге товары, подлежащие обязательной маркировке?","фильтр, маркировке, честного знака","фильтр, маркировке, честного знака","Да, через фильтр «Подлежит маркировке», по значку логотипа «Честного знака» или сверив коды ТНВЭД в карточке товара."
21,OK,Можно ли вводить в поисковую строку артикулы списком?,через запятую,через запятую,"Да, артикулы можно вводить списком через запятую."
22,OK,Как найти эко-товары на gifts.ru?,"фильтр, эко","фильтр, эко","Через фильтр на главной странице, вводом слова «эко» в поиск или через фильтр «эко-подарки» в категориях."
23,OK,"Если ввести в поисковую строку и номер артикула, и название категории, какой будет поисковая выдача?",одной странице,одной странице,"Поиск покажет и товар по артикулу, и категорию на одной странице одновременно."
24,OK,"Что делать, если срочно нужны футболки с одноцветной печатью, а бюджет не имеет значения?","график загрузки, наличию, метод нанесения","график загрузки, наличию, метод нанесения","Нужно проверить график загрузки производства, выбрать самый быстрый метод нанесения и отсортировать футболки по наличию."
25,OK,Как исключить из поисковой выдачи товары с принтами?,"бегунком, фильтр",фильтр,С помощью специального бегунка в блоке настройки фильтров.
26,OK,Как можно положить товар в корзину?,"карточки, каталога","карточки, каталога","Из карточки товара или из каталога в режимах «Крупно», «Стандартно» или «Списком»."
27,OK,Как быстрее всего найти текстиль нужного размера?,фильтр,фильтр,Быстрее всего — с помощью фильтра.
28,OK,Что означает тип резерва «Если освободится»?,"автоматически резервируется, истекают","автоматически резервируется, истекают","Товар автоматически резервируется, если предыдущие резервы других компаний истекают или освобождаются вручную."
29,OK,На сколько дней обычно ставится резерв вне сезона?,4 рабочих дня,4 рабочих дня,Стандартный срок резерва составляет 4 рабочих дня.
30,OK,"Как поступить, если нужно 50 ежедневников, а на складе они в резервах, которые освобождаются частями?","несколько строк, освобождение","несколько строк, освобождение","Нужно добавить в корзину несколько строк — по количеству истекающих резервов, на каждую строку поставив резерв «под освобождение»."
31,OK,На какие товары срок резерва может быть сокращен?,"новогодние, ежедневники, маркировк","новогодние, ежедневники, маркировк","На новогодние товары, ежедневники, продукты питания, товары с маркировкой «Честный знак» и блокирующие резервы."
32,OK,Что такое служебный резерв?,"собственный резерв, тендер","собственный резерв, тендер","Это собственный резерв «Проекта 111», обычно при проведении тендера с участием нескольких партнеров."
33,OK,Можно ли перенести ранее зарезервированный товар в новый заказ?,переместить резерв,переместить резерв,"Да, с помощью инструмента «Переместить резерв». Также можно разделить одну строку резерва и перенести часть."
34,OK,Где можно узнать стоимость печати принта?,"карточках, корзине, производство, прайс","карточках, корзине, производство, прайс","В карточках товара, в корзине, в калькуляторах раздела «Производство» и в прайс-листах «Стоимость нанесения»."
35,OK,Каков минимальный тираж одного артикула при заказе нанесения логотипа?,"зависит от товара, вида нанесения",вида нанесения,Минимальный тираж зависит от конкретного товара и выбранного вида нанесения.
36,OK,"Можно ли указать другой цвет при выборе цветов печати, например Pantone?",pantone,pantone,"Да, можно ввести номер по шкале Pantone."
37,OK,Что такое групповой пришив?,"элемент, несколько товаров",элемент,Это нанесение одного и того же принта или элемента на несколько разных товаров.
38,OK,Где найти технические требования к методу нанесения?,"производство, карточке, корзине, помощь","производство, карточке, корзине, помощь","В разделе «Производство» на сайте, в карточке товара, в корзине при выборе метода нанесения и в разделе «Помощь»."
39,OK,Что такое элементы кастомизации?,"лейблы, шевроны, нашивки","лейблы, шевроны, нашивки","Это лейблы, шевроны, нашивки, стропы и прочие элементы, которые можно добавить к товару."
40,OK,Увеличивается ли поле печати пропорционально размеру текстиля?,"оборудования, печатного столика","оборудования, печатного столика","Нет, поле печати зависит от возможностей оборудования, например от ширины печатного столика."
41,OK,Где нужно оставить пожелания по способу пришива элемента кастомизации?,оригинал-макете,оригинал-макете,Пожелания указываются в оригинал-макете товара-носителя или в письме-заявке на производство.
42,OK,Где можно увидеть ориентировочные сроки нанесения?,"карточке, корзине, графике загрузки","карточке, корзине, графике загрузки","В карточке товара, в корзине при расчете, в графике загрузки производства в личном кабинете и в разделе «Производство»."
43,OK,После какого действия при оформлении заказа придет сформированный счет?,"бпз, оформить заказ","бпз, оформить заказ","Счет формируется после подтверждения БПЗ или после нажатия кнопки «Оформить заказ» на финальном этапе оформления, в зависимости от сценария оформления на сайте."
44,OK,Что такое БПЗ?,бланк подтверждения,бланк подтверждения,БПЗ — это Бланк подтверждения заказа.
45,OK,При каком условии необходимо объединить тиражи при оформлении заказа?,"один и тот же принт, несколько позиций","один и тот же принт, несколько позиций",Если вы печатаете один и тот же принт на несколько позиций.
46,OK,Когда заказ отправляется в работу на сборку и в производство?,"оплаты счета, кредитной линии","оплаты счета, кредитной линии",После оплаты счета в установленный срок или сразу после подписания БПЗ при наличии кредитной линии.
47,OK,Что такое сигнальный образец?,"нанесением, тираж, согласования","нанесением, тираж, согласования","Это образец с нанесением, изготовленный для согласования перед запуском основного тиража."
48,OK,Как настроить услуги доставки заказа?,"услуга доставки, странице заказа","услуга доставки, странице заказа",Для настройки доставки нужно нажать на кнопку «Услуга доставки» на странице заказа.
49,OK,"Что произойдет, если технические дизайнеры найдут ошибки в ваших макетах?","почту, недостатках","почту, недостатках",Вы получите на почту письмо о недостатках со ссылками на подробное описание на сайте.
50,OK,Какие статусы выполнения заказа можно видеть в реальном времени на gifts.ru?,"макет согласован, отк, отгружен","макет согласован, отк, отгружен","«Макет согласован», «В работе», «Производство начато», «Проверка ОТК», «В отгрузке», «Отгружен в ТК»."
51,OK,Как найти конкретный заказ среди всех заказов вашей компании?,"номер, заказы, артикул","номер, заказы, артикул","Можно ввести номер заказа в строку поиска на главной странице, в разделе «Заказы» или использовать артикул из заказа в разделе «Заказы»."
52,OK,Как подать претензию по заказу?,личном кабинете,личном кабинете,Претензию можно подать самостоятельно в личном кабинете на сайте.
53,OK,Какие типы компенсаций по претензиям есть в «Проекте 111»?,"деньгами, замена, скидка","деньгами, замена, скидка","Возмещение деньгами, замена товара или скидка на товар."
54,OK,Когда нужно вернуть товар по претензии?,согласования претензии,согласования претензии,После официального согласования претензии.
55,OK,С какими товарами можно создавать коммерческие предложения на gifts.ru?,"склада, партнерских, ежедневников, изготовим на заказ","склада, партнерских, ежедневников, изготовим на заказ","С товарами со склада, с товарами с быстрой доставкой с партнерских складов, из конструктора ежедневников и товарами с отметкой «Изготовим на заказ»."
56,OK,Как можно показать КП клиенту?,"ссылку, pdf, презентации, распечатав","ссылку, pdf, презентации","Опубликовать ссылку, скачать PDF, использовать режим презентации в личном кабинете или распечатать."
57,OK,Можно ли добавить скидку в КП?,"скидку, наценку, услуги","скидку, наценку, услуги","Да, в КП можно добавить скидку, наценку и собственные услуги с ценами."
58,OK,Как можно перейти в редактор КП?,"заказа, личного кабинета, карточки","заказа, личного кабинета, карточки","Из заказа, из личного кабинета или из карточки товара."
59,OK,Что не позволит собрать ежедневник в калькуляторе?,изделий для планирования,изделий для планирования,"Наличие в корзине других изделий для планирования, уже собранных в калькуляторе, а также отсутствие авторизации на сайте."
60,OK,Какую опцию нельзя выбрать в калькуляторе ежедневников?,пришив элемента кастомизации,пришив элемента кастомизации,Нельзя выбрать пришив элемента кастомизации.
61,OK,"Как добавить в заказ с ежедневником опции, которые отсутствовали в калькуляторе?",персональному менеджеру,персональному менеджеру,Для этого нужно обратиться к персональному менеджеру.
62,OK,Как узнать примерный запас материала для обложек ежедневников?,"менеджеру, адъютант","менеджеру, адъютант","Можно отправить запрос персональному менеджеру, посмотреть информацию на сайте ТМ «Адъютант», нажать на меню материала или дождаться системной проверки при добавлении в корзину."
63,OK,"Можно ли в калькуляторе создать ежедневник, аналогичный товару из складской коллекции?","ссылка, калькуляторе","ссылка, калькуляторе","Да, в карточках некоторых ежедневников есть ссылка на уже собранную модификацию в калькуляторе."
64,OK,В каких городах расположены склады образцов «Проекта 111»?,"москва, санкт-петербург, новосибирск","санкт-петербург, новосибирск","Склады образцов находятся в Москве, Санкт-Петербурге и Новосибирске."
65,OK,Чем отличается обычный заказ от заказа образцов?,"буквой s, нанесения","буквой s, нанесения","Заказ образцов отличается буквой S перед номером, отсутствием услуг нанесения, заказом по одной штуке каждой позиции и отдельными правилами по сумме заказа."
66,OK,Можно ли выкупить образец?,"выкупить, порч, задержк","выкупить, порч, задержк","Да, образец можно выкупить. Это также потребуется при порче образца или задержке возврата дольше установленного срока."
67,OK,Как найти состав заказов образцов для сверки при возврате?,"номер, заказы, фильтр","номер, заказы, фильтр",Состав заказов можно найти по номерам в строке поиска в разделе «Заказы» или воспользовавшись фильтром в разделе «Заказы».
68,OK,"Как получить образец, если в моем городе нет склада образцов?","транспортн, компани","транспортн, компани",Образец можно получить через транспортную компанию или через шоурумы в Петербурге и Москве.
69,OK,Какой товар нельзя заказать в качестве образца в «Проекте 111»?,"8000, маркировк, принт, стекл","8000, маркировк, принт, стекл","Нельзя заказать товар дороже 8000 рублей, товары с обязательной маркировкой, продукцию с готовым принтом и стеклянную посуду."
70,OK,Может ли дилер разместить все товары каталога на собственном сайте и продавать их?,"любые товары, лицензионн","любые товары, лицензионн","Да, дилер может размещать любые товары каталога, кроме отдельных исключений, например лицензионной продукции."
71,OK,Что не входит в пакет автоматически выгружаемых данных для дилеров?,"названия аналогов, конкурент","названия аналогов, конкурент",В пакет не входят названия аналогов у конкурентов.
72,OK,В каком формате предоставляется автоматически обновляемая выгрузка по товарам?,xml,xml,Выгрузка предоставляется в формате XML.
73,OK,Попадает ли в выгрузку информация о складских остатках?,складских остатках,складских остатках,"Да, информация о складских остатках попадает в выгрузку."
74,OK,Есть ли регламентирование по использованию материалов из автоматической выгрузки на сайте дилера?,"регламент, подвале","регламент, подвале","Да, регламент по использованию материалов загружен на gifts.ru, ссылка на него находится в подвале сайта."
75,OK,Какую частоту обновления данных рекомендуется настроить для xml-выгрузки?,1 раз в сутки,1 раз в сутки,Рекомендуемая частота обновления — 1 раз в сутки.
76,OK,В каких случаях допустимо отправлять письмо менеджеру без темы?,ни в каких,ни в каких,"Ни в каких, письмо без темы отправлять не следует."
77,OK,Когда ждать ответа на отправленное менеджеру письмо?,в течение дня,в течение дня,Обычно ответ следует ждать в течение дня.
78,OK,"Что указать в заголовке письма, чтобы повысить скорость его обработки?","артикул, заказ, претензи, код компании","артикул, заказ, претензи, код компании","Номер артикула, номер заказа, номер претензии или код компании."
79,OK,"Нужно ли создавать новое письмо с новой темой, если возник вопрос по другому заказу?","новое письмо, новой темой","новое письмо, новой темой","Да, нужно создавать новое письмо с новой темой. Так найти нужную информацию в переписке будет проще."
80,OK,"Где узнать код компании, чтобы указать в теме письма?","договоре, xml, личном кабинете","договоре, xml, личном кабинете","Код компании можно узнать в договоре поставки, в файлах XML-выгрузки и в личном кабинете."
